transcript_id,sprot_Top_BLASTX_hit,RNAMMER,prot_id,prot_coords,sprot_Top_BLASTP_hit,Pfam,SignalP,TmHMM,eggnog,Kegg,gene_ontology_blast,gene_ontology_pfam
NODE_10007_length_2015_cov_33.4372_g6691_i1,"KLKB1_MOUSE^KLKB1_MOUSE^Q:1134-1904,H:381-623^28.846%ID^E:1.7e-26^RecName: Full=Plasma kallikrein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus",.,NODE_10007_length_2015_cov_33.4372_g6691_i1.p1,162-1943[+],"ENTK_HUMAN^ENTK_HUMAN^Q:49-579,H:547-1014^25.594%ID^E:9.02e-33^RecName: Full=Enteropeptidase;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",PF00057.18^Ldl_recept_a^Low-density lipoprotein receptor domain class A^135-171^E:3.7e-11`PF00089.26^Trypsin^Trypsin^338-579^E:1.6e-51,.,.,COG5640^protease,KEGG:hsa:5651`KO:K01316,GO:0005903^cellular_component^brush border`GO:0016021^cellular_component^integral component of membrane`GO:0016020^cellular_component^membrane`GO:0005044^molecular_function^scavenger receptor activity`GO:0004252^molecular_function^serine-type endopeptidase activity,GO:0005515^molecular_function^protein binding`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0006508^biological_process^proteolysis
NODE_10035_length_2011_cov_7.68814_g7072_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10049_length_2009_cov_1010.67_g4245_i1,"ATS16_MOUSE^ATS16_MOUSE^Q:1751-417,H:93-572^25.662%ID^E:3.7e-36^RecName: Full=A disintegrin and metalloproteinase with thrombospondin motifs 16;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus",.,NODE_10049_length_2009_cov_1010.67_g4245_i1.p1,126-1625[-],"ADT1_CAEEL^ADT1_CAEEL^Q:53-403,H:141-533^27.114%ID^E:4.13e-35^RecName: Full=A disintegrin and metalloproteinase with thrombospondin motifs adt-1 {ECO:0000305};^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis",PF13688.6^Reprolysin_5^Metallo-peptidase family M12^131-300^E:5.7e-12`PF01421.19^Reprolysin^Reprolysin (M12B) family zinc metalloprotease^135-323^E:1.9e-15`PF13582.6^Reprolysin_3^Metallo-peptidase family M12B Reprolysin-like^142-274^E:4.1e-09`PF13583.6^Reprolysin_4^Metallo-peptidase family M12B Reprolysin-like^200-286^E:3.1e-06`PF13574.6^Reprolysin_2^Metallo-peptidase family M12B Reprolysin-like^219-311^E:3.9e-08`PF17771.1^ADAM_CR_2^ADAM cysteine-rich domain^339-403^E:1.2e-09`PF17771.1^ADAM_CR_2^ADAM cysteine-rich domain^430-498^E:5.6e-05,.,.,ENOG41104P0^Thrombospondin type 1 domain,KEGG:cel:CELE_C02B4.1,GO:0005576^cellular_component^extracellular region`GO:0046872^molecular_function^metal ion binding`GO:0004222^molecular_function^metalloendopeptidase activity,GO:0004222^molecular_function^metalloendopeptidase activity`GO:0006508^biological_process^proteolysis
NODE_10108_length_2001_cov_9.98304_g7126_i0,"MRC2_HUMAN^MRC2_HUMAN^Q:318-1031,H:684-948^22.101%ID^E:1.19e-08^RecName: Full=C-type mannose receptor 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",.,NODE_10108_length_2001_cov_9.98304_g7126_i0.p1,174-1070[+],"MRC2_HUMAN^MRC2_HUMAN^Q:49-286,H:684-948^22.101%ID^E:9.87e-10^RecName: Full=C-type mannose receptor 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",PF00059.21^Lectin_C^Lectin C-type domain^62-167^E:1.4e-14`PF00059.21^Lectin_C^Lectin C-type domain^184-287^E:2.8e-08,sigP:1^23^0.485^YES,.,"ENOG410XQ89^Mannose receptor, C type 2",KEGG:hsa:9902`KO:K06560,GO:0005925^cellular_component^focal adhesion`GO:0016021^cellular_component^integral component of membrane`GO:0016020^cellular_component^membrane`GO:0030246^molecular_function^carbohydrate binding`GO:0005518^molecular_function^collagen binding`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0030574^biological_process^collagen catabolic process`GO:0006897^biological_process^endocytosis`GO:0001649^biological_process^osteoblast differentiation,.
NODE_101690_length_137_cov_9.47561_g94470_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10218_length_1985_cov_18.5554_g7198_i0,"WSD_ACIAD^WSD_ACIAD^Q:1368-265,H:62-446^21.76%ID^E:1.15e-12^RecName: Full=O-acyltransferase WSD;^Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter",.,NODE_10218_length_1985_cov_18.5554_g7198_i0.p1,256-1953[-],"WSD_ACIAD^WSD_ACIAD^Q:196-563,H:62-446^22.005%ID^E:9.38e-13^RecName: Full=O-acyltransferase WSD;^Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter",PF06974.13^DUF1298^Protein of unknown function (DUF1298)^418-558^E:2.4e-27,.,ExpAA=83.94^PredHel=4^Topology=i36-58o73-95i452-474o504-526i,"ENOG410XS7A^Acyltransferase, ws dgat mgat",KEGG:aci:ACIAD0832`KO:K00635,GO:0102966^molecular_function^arachidoyl-CoA:1-dodecanol O-acyltransferase activity`GO:0004144^molecular_function^diacylglycerol O-acyltransferase activity`GO:0047196^molecular_function^long-chain-alcohol O-fatty-acyltransferase activity`GO:0006071^biological_process^glycerol metabolic process`GO:0019432^biological_process^triglyceride biosynthetic process,GO:0004144^molecular_function^diacylglycerol O-acyltransferase activity
NODE_102471_length_136_cov_2.41975_g95251_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10266_length_1979_cov_3.34407_g7234_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_102839_length_135_cov_19.3_g95619_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10321_length_1972_cov_1770.41_g3092_i1,"LUCI_VARHI^LUCI_VARHI^Q:106-1749,H:2-555^47.227%ID^E:0^RecName: Full=Luciferin 2-monooxygenase;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Oligostraca; Ostracoda; Myodocopa; Myodocopida; Cypridinoidea; Cypridinidae; Vargula",.,NODE_10321_length_1972_cov_1770.41_g3092_i1.p1,94-1752[+],"LUCI_VARHI^LUCI_VARHI^Q:5-552,H:2-555^47.227%ID^E:0^RecName: Full=Luciferin 2-monooxygenase;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Oligostraca; Ostracoda; Myodocopa; Myodocopida; Cypridinoidea; Cypridinidae; Vargula",PF00094.25^VWD^von Willebrand factor type D domain^80-234^E:2.7e-14`PF00094.25^VWD^von Willebrand factor type D domain^319-460^E:3.6e-21,sigP:1^18^0.906^YES,.,.,.,GO:0016831^molecular_function^carboxy-lyase activity`GO:0047712^molecular_function^Cypridina-luciferin 2-monooxygenase activity`GO:0008218^biological_process^bioluminescence,.
